"","x"
"Legislator 1",422
"Legislator 2",70
"Legislator 3",339.5
"Legislator 4",561.5
"Legislator 5",309
"Legislator 6",200
"Legislator 7",448.5
"Legislator 8",309
"Legislator 9",623
"Legislator 10",649
"Legislator 11",253
"Legislator 12",239
"Legislator 13",526
"Legislator 14",309
"Legislator 15",468
"Legislator 16",5
"Legislator 17",111
"Legislator 18",253
"Legislator 19",591
"Legislator 20",589
"Legislator 21",381.5
"Legislator 22",160
"Legislator 23",461
"Legislator 24",619
"Legislator 25",447
"Legislator 26",97
"Legislator 27",389
"Legislator 28",20.5
"Legislator 29",229.5
"Legislator 30",240
"Legislator 31",309
"Legislator 32",309
"Legislator 33",235.5
"Legislator 34",491.5
"Legislator 35",482
"Legislator 36",427
"Legislator 37",273.5
"Legislator 38",20.5
"Legislator 39",416
"Legislator 40",372.5
"Legislator 41",130
"Legislator 42",541
"Legislator 43",508.5
"Legislator 44",108.5
"Legislator 45",363.5
"Legislator 46",76
"Legislator 47",309
"Legislator 48",135.5
"Legislator 49",332
"Legislator 50",46.5
"Legislator 51",28
"Legislator 52",335
"Legislator 53",501
"Legislator 54",103.5
"Legislator 55",581
"Legislator 56",339.5
"Legislator 57",526
"Legislator 58",500
"Legislator 59",508.5
"Legislator 60",309
"Legislator 61",31.5
"Legislator 62",253
"Legislator 63",604.5
"Legislator 64",454.5
"Legislator 65",443
"Legislator 66",649
"Legislator 67",472
"Legislator 68",541
"Legislator 69",127
"Legislator 70",335
"Legislator 71",54.5
"Legislator 72",165
"Legislator 73",526
"Legislator 74",597
"Legislator 75",475.5
"Legislator 76",67
"Legislator 77",253
"Legislator 78",106.5
"Legislator 79",486
"Legislator 80",584
"Legislator 81",448.5
"Legislator 82",59.5
"Legislator 83",604.5
"Legislator 84",273.5
"Legislator 85",465
"Legislator 86",171.5
"Legislator 87",335
"Legislator 88",200
"Legislator 89",478.5
"Legislator 90",33
"Legislator 91",354.5
"Legislator 92",426
"Legislator 93",64.5
"Legislator 94",273.5
"Legislator 95",200
"Legislator 96",654
"Legislator 97",374
"Legislator 98",28
"Legislator 99",225
"Legislator 100",629.5
"Legislator 101",375
"Legislator 102",459.5
"Legislator 103",369
"Legislator 104",656
"Legislator 105",135.5
"Legislator 106",384
"Legislator 107",561.5
"Legislator 108",579
"Legislator 109",71
"Legislator 110",273.5
"Legislator 111",273.5
"Legislator 112",526
"Legislator 113",121
"Legislator 114",200
"Legislator 115",152.5
"Legislator 116",526
"Legislator 117",366.5
"Legislator 118",370.5
"Legislator 119",273.5
"Legislator 120",526
"Legislator 121",409
"Legislator 122",200
"Legislator 123",200
"Legislator 124",50
"Legislator 125",59.5
"Legislator 126",616
"Legislator 127",200
"Legislator 128",578
"Legislator 129",377
"Legislator 130",403
"Legislator 131",89
"Legislator 132",253
"Legislator 133",347
"Legislator 134",417
"Legislator 135",557
"Legislator 136",146
"Legislator 137",459.5
"Legislator 138",370.5
"Legislator 139",237.5
"Legislator 140",526
"Legislator 141",309
"Legislator 142",357.5
"Legislator 143",402
"Legislator 144",393
"Legislator 145",39.5
"Legislator 146",169
"Legislator 147",9
"Legislator 148",309
"Legislator 149",431
"Legislator 150",526
"Legislator 151",39.5
"Legislator 152",430
"Legislator 153",398
"Legislator 154",245
"Legislator 155",273.5
"Legislator 156",450
"Legislator 157",339.5
"Legislator 158",385
"Legislator 159",381.5
"Legislator 160",152.5
"Legislator 161",641
"Legislator 162",360
"Legislator 163",649
"Legislator 164",388
"Legislator 165",44.5
"Legislator 166",547.5
"Legislator 167",67
"Legislator 168",273.5
"Legislator 169",157
"Legislator 170",53
"Legislator 171",378.5
"Legislator 172",200
"Legislator 173",494
"Legislator 174",200
"Legislator 175",113.5
"Legislator 176",565.5
"Legislator 177",165
"Legislator 178",347
"Legislator 179",253
"Legislator 180",612.5
"Legislator 181",604.5
"Legislator 182",408
"Legislator 183",347
"Legislator 184",92
"Legislator 185",253
"Legislator 186",13.5
"Legislator 187",309
"Legislator 188",576
"Legislator 189",200
"Legislator 190",20.5
"Legislator 191",604.5
"Legislator 192",432
"Legislator 193",574
"Legislator 194",580
"Legislator 195",627
"Legislator 196",187
"Legislator 197",441.5
"Legislator 198",386.5
"Legislator 199",359
"Legislator 200",200
"Legislator 201",171.5
"Legislator 202",586
"Legislator 203",216
"Legislator 204",406
"Legislator 205",20.5
"Legislator 206",493
"Legislator 207",660
"Legislator 208",141.5
"Legislator 209",467
"Legislator 210",113.5
"Legislator 211",200
"Legislator 212",309
"Legislator 213",546
"Legislator 214",604.5
"Legislator 215",570
"Legislator 216",399
"Legislator 217",273.5
"Legislator 218",622
"Legislator 219",85.5
"Legislator 220",149.5
"Legislator 221",220
"Legislator 222",526
"Legislator 223",458
"Legislator 224",347
"Legislator 225",383
"Legislator 226",570
"Legislator 227",13.5
"Legislator 228",451
"Legislator 229",619
"Legislator 230",552
"Legislator 231",339.5
"Legislator 232",390.5
"Legislator 233",54.5
"Legislator 234",121
"Legislator 235",347
"Legislator 236",582
"Legislator 237",56
"Legislator 238",526
"Legislator 239",454.5
"Legislator 240",425
"Legislator 241",1
"Legislator 242",624
"Legislator 243",604.5
"Legislator 244",604.5
"Legislator 245",558
"Legislator 246",6
"Legislator 247",178
"Legislator 248",273.5
"Legislator 249",309
"Legislator 250",273.5
"Legislator 251",584
"Legislator 252",157
"Legislator 253",604.5
"Legislator 254",157
"Legislator 255",309
"Legislator 256",20.5
"Legislator 257",526
"Legislator 258",34.5
"Legislator 259",641
"Legislator 260",441.5
"Legislator 261",200
"Legislator 262",100.5
"Legislator 263",470
"Legislator 264",475.5
"Legislator 265",570
"Legislator 266",587
"Legislator 267",149.5
"Legislator 268",593
"Legislator 269",183
"Legislator 270",469
"Legislator 271",489
"Legislator 272",619
"Legislator 273",220
"Legislator 274",39.5
"Legislator 275",168
"Legislator 276",146
"Legislator 277",309
"Legislator 278",508.5
"Legislator 279",116
"Legislator 280",110
"Legislator 281",309
"Legislator 282",4
"Legislator 283",354.5
"Legislator 284",116
"Legislator 285",555
"Legislator 286",273.5
"Legislator 287",76
"Legislator 288",116
"Legislator 289",46.5
"Legislator 290",405
"Legislator 291",596
"Legislator 292",526
"Legislator 293",11
"Legislator 294",200
"Legislator 295",657
"Legislator 296",225
"Legislator 297",273.5
"Legislator 298",220
"Legislator 299",165
"Legislator 300",440
"Legislator 301",200
"Legislator 302",661
"Legislator 303",62.5
"Legislator 304",347
"Legislator 305",28
"Legislator 306",50
"Legislator 307",141.5
"Legislator 308",526
"Legislator 309",220
"Legislator 310",253
"Legislator 311",526
"Legislator 312",309
"Legislator 313",541
"Legislator 314",183
"Legislator 315",503
"Legislator 316",309
"Legislator 317",200
"Legislator 318",309
"Legislator 319",108.5
"Legislator 320",200
"Legislator 321",429
"Legislator 322",420
"Legislator 323",253
"Legislator 324",414
"Legislator 325",175.5
"Legislator 326",444.5
"Legislator 327",229.5
"Legislator 328",418
"Legislator 329",165
"Legislator 330",216
"Legislator 331",39.5
"Legislator 332",220
"Legislator 333",481
"Legislator 334",273.5
"Legislator 335",183
"Legislator 336",454.5
"Legislator 337",347
"Legislator 338",549
"Legislator 339",165
"Legislator 340",81
"Legislator 341",309
"Legislator 342",200
"Legislator 343",128.5
"Legislator 344",526
"Legislator 345",419
"Legislator 346",526
"Legislator 347",480
"Legislator 348",273.5
"Legislator 349",95
"Legislator 350",604.5
"Legislator 351",508.5
"Legislator 352",118
"Legislator 353",561.5
"Legislator 354",146
"Legislator 355",309
"Legislator 356",649
"Legislator 357",39.5
"Legislator 358",223
"Legislator 359",526
"Legislator 360",347
"Legislator 361",183
"Legislator 362",502
"Legislator 363",386.5
"Legislator 364",213.5
"Legislator 365",547.5
"Legislator 366",584
"Legislator 367",39.5
"Legislator 368",421
"Legislator 369",475.5
"Legislator 370",632
"Legislator 371",309
"Legislator 372",437
"Legislator 373",309
"Legislator 374",595
"Legislator 375",67
"Legislator 376",550
"Legislator 377",564
"Legislator 378",570
"Legislator 379",213.5
"Legislator 380",200
"Legislator 381",543
"Legislator 382",69
"Legislator 383",633
"Legislator 384",471
"Legislator 385",94
"Legislator 386",526
"Legislator 387",495
"Legislator 388",400.5
"Legislator 389",508.5
"Legislator 390",619
"Legislator 391",103.5
"Legislator 392",96
"Legislator 393",526
"Legislator 394",397
"Legislator 395",62.5
"Legislator 396",273.5
"Legislator 397",366.5
"Legislator 398",400.5
"Legislator 399",407
"Legislator 400",347
"Legislator 401",508.5
"Legislator 402",561.5
"Legislator 403",636
"Legislator 404",20.5
"Legislator 405",641
"Legislator 406",424
"Legislator 407",309
"Legislator 408",233.5
"Legislator 409",124.5
"Legislator 410",178
"Legislator 411",662.5
"Legislator 412",664
"Legislator 413",121
"Legislator 414",415
"Legislator 415",152.5
"Legislator 416",428
"Legislator 417",309
"Legislator 418",576
"Legislator 419",141.5
"Legislator 420",138
"Legislator 421",98
"Legislator 422",641
"Legislator 423",423
"Legislator 424",309
"Legislator 425",44.5
"Legislator 426",83.5
"Legislator 427",229.5
"Legislator 428",183
"Legislator 429",498
"Legislator 430",309
"Legislator 431",309
"Legislator 432",396
"Legislator 433",484
"Legislator 434",138
"Legislator 435",99
"Legislator 436",410.5
"Legislator 437",106.5
"Legislator 438",273.5
"Legislator 439",478.5
"Legislator 440",253
"Legislator 441",436
"Legislator 442",366.5
"Legislator 443",93
"Legislator 444",347
"Legislator 445",309
"Legislator 446",273.5
"Legislator 447",641
"Legislator 448",20.5
"Legislator 449",100.5
"Legislator 450",112
"Legislator 451",335
"Legislator 452",361.5
"Legislator 453",309
"Legislator 454",309
"Legislator 455",39.5
"Legislator 456",631
"Legislator 457",570
"Legislator 458",131
"Legislator 459",141.5
"Legislator 460",513
"Legislator 461",200
"Legislator 462",76
"Legislator 463",7.5
"Legislator 464",475.5
"Legislator 465",121
"Legislator 466",483
"Legislator 467",26
"Legislator 468",200
