"","coord1D","coord2D"
"Legislator 1",-0.359206213680055,0.112234154243411
"Legislator 2",-0.415548151023128,-0.051089796045329
"Legislator 3",-0.389871884862251,-0.0144185015334917
"Legislator 4",0.89349002638326,-0.111405350252005
"Legislator 5",-0.399119571276597,-0.0722540440411001
"Legislator 6",-0.403486897325082,-0.0614634255612131
"Legislator 7",0.237199699961538,0.730223067024429
"Legislator 8",-0.392852686831433,-0.0674750612049143
"Legislator 9",0.889972357795535,-0.1174536757032
"Legislator 10",0.867986452358701,-0.180285403742896
"Legislator 11",-0.460385764687572,-0.166503826523473
"Legislator 12",-0.412100852374326,-0.0812039197795592
"Legislator 13",0.875659921328694,-0.143938549855673
"Legislator 14",-0.39779471095932,-0.0706565483286088
"Legislator 15",0.302257678132542,0.679767065403726
"Legislator 16",-0.41713188468045,-0.0316405279218599
"Legislator 17",-0.420255063680973,-0.0547435824850416
"Legislator 18",-0.47325033191892,-0.0812106463717057
"Legislator 19",0.844745411489454,-0.116291742505241
"Legislator 20",0.885299256863811,-0.128186034068198
"Legislator 21",-0.370212474581176,0.0226110423133456
"Legislator 22",-0.449882037141057,-4.09448950439151e-16
"Legislator 23",0.286840015507804,0.725519248550138
"Legislator 24",0.879920738377239,-0.153500101721384
"Legislator 25",0.235975994816543,0.73736052989782
"Legislator 26",-0.405560382048793,-0.0571291636058491
"Legislator 27",-0.392112298281729,0.061095316762674
"Legislator 28",-0.405560382048794,-0.0295146146580194
"Legislator 29",-0.403486897325081,-0.0681022300289401
"Legislator 30",-0.403779116887524,-0.0717166968006437
"Legislator 31",-0.386586221074443,-0.0720405516433284
"Legislator 32",-0.401371725432435,-0.0892837115104124
"Legislator 33",-0.405560382048794,-0.0292890242788981
"Legislator 34",0.759679603279549,-0.11046184626272
"Legislator 35",0.318310034795471,0.651235649767746
"Legislator 36",0.133944334841599,0.424706775411166
"Legislator 37",-0.455409340970351,-0.17036296188859
"Legislator 38",-0.433113785691115,-0.033100474287589
"Legislator 39",-0.327510506650208,0.113958160356744
"Legislator 40",-0.401262250276664,0.0229836439101274
"Legislator 41",-0.450298188262524,-0.12491258490498
"Legislator 42",0.881263559692435,-0.108199858721961
"Legislator 43",0.909509888517647,-0.101826735771109
"Legislator 44",-0.410921177615724,-0.0441513178995228
"Legislator 45",-0.389816611057432,0.00175390639290972
"Legislator 46",-0.465375507069262,0.0444197185367083
"Legislator 47",-0.396382222899758,-0.0766929756020931
"Legislator 48",-0.395790121465842,-0.0262094351042133
"Legislator 49",-0.418673321562754,-3.60443012242806e-16
"Legislator 50",-0.403486897325083,-1.34007388519208e-16
"Legislator 51",-0.42187240303945,-0.060642245154887
"Legislator 52",-0.409761424804532,-0.0137668598411816
"Legislator 53",0.888582483170511,-0.111529847915394
"Legislator 54",-0.421849665754055,-0.0606118641241313
"Legislator 55",0.889053637096527,-0.0889343119012093
"Legislator 56",-0.402243376410471,-0.0136848303764415
"Legislator 57",0.891508694330588,-0.0900566486967867
"Legislator 58",0.860268359809225,-0.0642992949755494
"Legislator 59",0.907069730423637,-0.101718136593689
"Legislator 60",-0.403440147861645,-0.0745884455107135
"Legislator 61",-0.409732591001982,-0.0193980176779917
"Legislator 62",-0.415977718904473,-0.0676277800804901
"Legislator 63",0.896704819065611,-0.0693078084662667
"Legislator 64",0.27910591646637,0.736637865349242
"Legislator 65",0.231010447267527,0.721120086595085
"Legislator 66",0.880239415632041,-0.148255663188154
"Legislator 67",0.304942487283843,0.703569639475392
"Legislator 68",0.881072220501851,-0.150496624030232
"Legislator 69",-0.403486897325083,-1.34007388519208e-16
"Legislator 70",-0.403486897325083,-1.34007388519208e-16
"Legislator 71",-0.420272287493507,-0.040110720233403
"Legislator 72",-0.419760718968976,-0.071893540793725
"Legislator 73",0.891716445973671,-0.110139791543422
"Legislator 74",0.886137055169658,-0.11731166619394
"Legislator 75",0.307390235057,0.719474208590339
"Legislator 76",-0.405560382048795,-1.62792956198698e-16
"Legislator 77",-0.409732591001982,-0.0193980176779917
"Legislator 78",-0.404048305239165,-0.0493889927784672
"Legislator 79",0.391607386068859,0.641477658379556
"Legislator 80",0.849701440014251,-0.153083816449472
"Legislator 81",0.241132474660297,0.660819780123224
"Legislator 82",-0.411924796626753,-0.0276811393333261
"Legislator 83",0.898117538912027,-0.116498433276894
"Legislator 84",-0.409732591001982,-0.0193980176779917
