"","correctYea","wrongYea","wrongNay","correctNay"
"1",124,1,0,329
"2",124,0,0,358
"3",44,0,0,301
"4",329,0,0,117
"5",119,0,0,326
"6",328,0,0,121
"7",314,0,0,124
"8",336,0,0,128
"9",69,0,0,338
"10",61,2,0,281
"11",31,1,8,324
"12",293,0,0,54
"13",19,0,0,267
"14",277,0,0,117
"15",111,0,0,279
"16",251,0,0,48
"17",248,0,0,31
"18",247,0,0,32
"19",192,0,0,28
"20",23,0,0,195
"21",114,0,0,333
"22",321,0,0,126
"23",123,0,0,328
"24",150,0,0,275
"25",34,0,0,261
"26",319,0,0,120
"27",142,2,1,315
"28",302,5,2,144
"29",100,1,2,264
"30",334,0,0,117
"31",276,1,2,132
"32",149,0,2,245
"33",143,0,1,232
"34",264,0,1,117
"35",125,2,2,262
"36",260,1,0,142
"37",99,0,0,282
"38",239,1,0,26
"39",113,0,0,298
"40",121,0,1,261
"41",262,0,0,121
"42",283,1,0,155
"43",265,1,0,107
"44",258,1,0,157
"45",301,0,0,93
"46",267,1,0,168
"47",284,0,0,108
"48",32,0,0,244
"49",118,0,0,285
"50",272,0,0,113
"51",154,0,1,285
"52",255,0,0,135
"53",274,1,0,138
"54",22,0,0,179
"55",25,0,0,136
"56",287,0,0,146
"57",111,0,0,306
"58",293,0,0,118
"59",266,0,1,161
"60",148,0,0,244
"61",261,1,0,144
"62",238,0,0,32
"63",207,0,0,4
"64",38,0,1,254
"65",263,0,0,85
"66",228,0,0,93
"67",134,0,1,271
"68",98,0,3,258
"69",107,0,0,272
"70",105,0,0,300
"71",134,0,1,257
"72",115,0,1,257
"73",122,0,1,266
"74",268,0,0,139
"75",277,0,1,107
"76",271,0,0,100
"77",220,4,2,121
"78",249,6,1,123
"79",241,0,0,23
"80",117,0,1,297
"81",243,1,0,134
"82",114,1,0,306
"83",248,0,0,137
"84",164,0,0,5
"85",129,0,1,268
"86",293,0,0,111
"87",323,0,0,123
"88",37,0,0,249
"89",246,0,0,35
"90",94,0,0,269
"91",120,0,1,260
"92",92,0,0,237
"93",225,0,0,125
"94",238,0,0,131
"95",89,0,0,257
"96",24,0,0,230
"97",97,0,0,269
"98",288,1,0,122
"99",147,0,0,255
"100",307,5,8,116
"101",107,0,1,265
"102",102,0,0,266
"103",111,0,0,256
"104",101,0,0,263
"105",120,1,0,307
"106",302,0,1,115
"107",294,0,0,115
"108",228,0,0,47
"109",253,0,0,26
"110",201,0,0,47
"111",53,11,25,179
"112",41,0,6,368
"113",48,0,0,279
"114",149,0,1,297
"115",80,1,7,362
"116",234,0,0,53
"117",265,0,0,19
"118",106,0,0,203
"119",98,0,0,177
"120",314,0,0,115
"121",119,0,0,291
"122",293,0,0,119
"123",272,0,0,123
"124",132,4,0,3
"125",204,1,0,112
"126",119,0,0,337
"127",121,0,0,308
"128",295,0,2,127
"129",106,0,0,235
"130",100,0,0,207
"131",111,0,0,312
"132",32,0,0,278
"133",293,0,0,115
"134",106,0,0,315
"135",37,0,0,277
"136",112,1,0,293
"137",116,1,0,297
"138",115,0,0,192
"139",163,0,0,103
"140",147,0,0,236
"141",112,0,0,275
"142",101,0,0,281
"143",273,0,0,64
"144",22,0,0,188
"145",126,0,0,246
"146",97,0,0,289
"147",99,0,0,265
"148",237,0,0,2
"149",7,0,0,229
"150",10,1,0,217
"151",137,0,0,25
"152",135,0,0,5
"153",101,0,0,8
"154",208,0,0,144
"155",202,0,0,93
"156",206,0,0,79
"157",35,0,0,241
"158",35,0,0,234
"159",116,0,0,284
"160",108,0,0,290
"161",105,0,0,282
"162",145,0,0,256
"163",166,0,0,255
"164",275,0,0,85
"165",283,0,0,70
"166",193,0,0,138
"167",197,0,0,141
"168",190,0,0,20
"169",92,0,0,249
"170",2,0,3,211
"171",117,0,0,278
"172",264,0,0,109
"173",389,2,0,19
"174",190,0,0,28
